Category,Qty,Value,Device,Package,Parts,JLC Number,Cost (RMB),Total (RMB),Notes
Hardware,1,DV05028B12U,Server Inverter PWM Cooling Fan,5028,Master,Taobao,21,21,Detailed models refer to drawings.
Hardware,4,M6x2 N52,RuFeBe Magnet,Print Pause Insert,Master,Taobao,0.3,1.2,
Hardware,6,M3x8 SHCS,Socket Head Cap Screw,Screw Insert,Master,Taobao,0.06,0.36,
Hardware,6,M3 Heatset Insert,Heatset Insert,Heatset Insert,Master,Taobao,0.142,0.852,
Electronics,1,6.8x6.8,PCB,-,-,JLC,4,4,
Electronics,2,220uF,Solid Capacitor,PTH,C1 C2,C2981462,1.302545,2.60509,
Electronics,6,22uF,Chip Capacitor,1210,C3 C4 C5 C6 C7 C8,C5204920,1.1356,6.8136,
Electronics,3,1uF,Chip Capacitor,603,C9 C14 C21,C59302,0.033038,0.099114,
Electronics,2,1.5nF,Chip Capacitor,603,C10 C11,C1595,0.01328,0.02656,
Electronics,6,100nF,Chip Capacitor,603,C12 C13 C15 C16 C17 C18,C30926,0.014161,0.084966,
Electronics,3,2.2uF,Chip Capacitor,603,C19 C20 C22,C99228,0.196958,0.590874,
Electronics,1,10uF,Chip Capacitor,1206,C23,C13585,0.211861,0.211861,
Electronics,2,30V,TVS Diode,SOD-123FL,D1 D2,C364281,0.16685,0.3337,
Electronics,1,TYPE-C-16P-FH,Type-C Connector,SMD,J1,C709357,0.537857,0.537857,Detailed models refer to drawings.
Electronics,2,2 Pin,XH Pin Header,PTH,JP1 JP2,C5341201,0.10188,0.20376,Detailed models refer to drawings.
Electronics,1,4 Pin,2510 Pin Header,PTH,JP3,Taobao,0.08,0.08,https://m.tb.cn/h.5xQs6Mhxx7MnwSl?tk=3AZoWoS7zzc
Electronics,1,5.6uH,Buck-Boost Inductor,12XX,L1,C408522,4.49,4.49,
Electronics,1,Green,Chip LED,603,LED1,C84267,0.096338,0.096338,Greater than 65W Indicator (This is almost impossible to happen).
Electronics,1,Red,Chip LED,603,LED2,C84263,0.059304,0.059304,Battery charging indicator.
Electronics,1,Blue,Chip LED,603,LED3,C84266,0.094908,0.094908,Battery full indicator.
Electronics,1,RU3030M2,Chip MOSFET,DFN-8(3X3),Q1,C148386,1.26387,1.26387,
Electronics,4,NTMFS5C670NLT1G,Chip MOSFET,DFN-8(5X6),Q2 Q3 Q4 Q5,C179626,3.226276,12.905104,
Electronics,2,5mOhm 1%,Chip Resistor,1206,R1 R9,C723507,1.049,2.098,Sampling resistor requires the use of high-precision low-temperature drift metal film resistors.
Electronics,1,1kOhm,Chip Resistor,603,R12,C25585,0.005449,0.005449,"Select Constant Current mode, see IP2368 manual for details."
Electronics,0,NC,Chip Resistor,603,R13,NC,0,0,"Select Normal Li-Ion Battery Mode, see IP2368 manual for details."
Electronics,1,10kOhm 1%,Chip Resistor,603,R14,C22809,0.006522,0.006522,"Select 2A constant current, see IP2368 manual for details."
